MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
AL-Birmingham,33.462372,-86.814338,Ally Bank (formerly GMAC),110814172,677,0.002,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5221,8.13,2,4
AL-Birmingham,33.462372,-86.814338,American Express,110814172,677,0.008,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,171,28.66,4,4.432658758
AL-Birmingham,33.462372,-86.814338,Bank of America,110814172,677,0.023,2570062,Credit_Cash_Management,TRUE,FALSE,,,,,,,,4836,47.7,14,4.72851153
AL-Birmingham,33.462372,-86.814338,CIT,110814172,677,0.002,0,Credit_Cash_Management,FALSE,TRUE,0,0.034809829,0,7,361,inf,Good,,,,
AL-Birmingham,33.462372,-86.814338,Cadence Bank,110814172,677,0.054,3008976,Credit_Cash_Management,FALSE,TRUE,0.502839815,0.034809829,14.44533995,9,709,0.069226477,Poor,4551,8.55,1,2
AL-Birmingham,33.462372,-86.814338,Caterpillar Inc.,110814172,677,0.002,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,,,,
AL-Birmingham,33.462372,-86.814338,First Horizon,110814172,677,0.008,0,Credit_Cash_Management,FALSE,TRUE,0,0.034809829,0,6,253,inf,Good,1360,19.53,3,4.394777266
AL-Birmingham,33.462372,-86.814338,Ford Motor,110814172,677,0.003,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,,,,
AL-Birmingham,33.462372,-86.814338,JPMorgan,110814172,677,0.016,1578113,Credit_Cash_Management,TRUE,FALSE,,,,,,,,1804,24.32,7,4.421875
AL-Birmingham,33.462372,-86.814338,PNC Bank,110814172,677,0.074,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,2444,43.34,7,4.526303646
AL-Birmingham,33.462372,-86.814338,Regions Bank,110814172,677,0.265,22958,Credit_Cash_Management,FALSE,TRUE,0.000781795,0.034809829,0.022459029,8,488,44.52552199,Excellent,2665,84.86,12,4.18548197
AL-Birmingham,33.462372,-86.814338,River Bank & Trust,110814172,677,0.023,0,Credit_Cash_Management,FALSE,TRUE,0,0.034809829,0,4,132,inf,Excellent,,,,
AL-Birmingham,33.462372,-86.814338,ServisFirst Bank,110814172,677,0.194,0,Credit_Cash_Management,FALSE,TRUE,0,0.034809829,0,2,7,inf,Excellent,5836,36.2,5,4.875138122
