MSA,Region
"Abilene, TX MSA",Southwest
AK NONMETROPOLITAN AREA,Far West
"Akron, OH MSA",Great Lakes
AL NONMETROPOLITAN AREA,Southeast
"Albany, GA MSA",Southeast
"Albany-Schenectady-Troy, NY MSA",Mideast
"Albuquerque, NM MSA",Southwest
"Alexandria, LA MSA",Southeast
"Allentown-Bethlehem-Easton, PA-NJ MSA",Mideast
"Altoona, PA MSA",Mideast
"Amarillo, TX MSA",Southwest
"Ames, IA MSA",Plains
"Anchorage, AK MSA",Far West
"Anderson, IN MSA",Great Lakes
"Anderson, SC MSA",Southeast
"Ann Arbor, MI MSA",Great Lakes
"Anniston-Oxford, AL MSA",Southeast
"Appleton, WI MSA",Great Lakes
AR NONMETROPOLITAN AREA,Southeast
"Asheville, NC MSA",Southeast
"Athens-Clark County, GA MSA",Southeast
"Atlanta-Sandy Springs-Marietta, GA MSA",Southeast
"Atlantic City, NJ MSA",Mideast
"Auburn-Opelika, AL MSA",Southeast
"Augusta-Richmond County, GA-SC MSA",Southeast
"Austin-Round Rock, TX MSA",Southwest
AZ NONMETROPOLITAN AREA,Southwest
"Bakersfield, CA MSA",Far West
"Baltimore-Towson, MD MSA",Mideast
"Bangor, ME MSA",New England
"Barnstable Town, MA MSA",New England
"Baton Rouge, LA MSA",Southeast
"Battle Creek, MI MSA",Great Lakes
"Bay City, MI MSA",Great Lakes
"Beaumont-Port Arthur, TX MSA",Southwest
"Bellingham, WA MSA",Far West
"Bend, OR MSA",Far West
"Billings, MT MSA",Rocky Mountain
"Binghamton, NY MSA",Mideast
"Birmingham-Hoover, AL MSA",Southeast
"Bismarck, ND MSA",Plains
"Blacksburg-Christiansburg-Radford, VA MSA",Southeast
"Bloomington, IN MSA",Great Lakes
"Bloomington-Normal, IL MSA",Great Lakes
"Boise City-Nampa, ID MSA",Rocky Mountain
"Boston-Cambridge-Quincy, MA-NH MSA",New England
"Boulder, CO MSA",Rocky Mountain
"Bowling Green, KY MSA",Southeast
"Bremerton-Silverdale, WA MSA",Far West
"Bridgeport-Stamford-Norwalk, CT MSA",New England
"Brownsville-Harlingen, TX MSA",Southwest
"Brunswick, GA MSA",Southeast
"Buffalo-Niagara Falls, NY MSA",Mideast
"Burlington, NC MSA",Southeast
"Burlington-South Burlington, VT MSA",New England
CA NONMETROPOLITAN AREA,Far West
"Canton-Massillon, OH MSA",Great Lakes
"Cape Coral-Fort Myers, FL MSA",Southeast
