MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
AL-Birmingham,33.462372,-86.814338,Ally Bank (formerly GMAC),110814172,677,0.002,0,Credit_Cash_Management,True,False,,,,,,,,5221.0,8.13,2.0,4.0
AL-Birmingham,33.462372,-86.814338,American Express,110814172,677,0.008,0,Credit_Cash_Management,True,False,,,,,,,,171.0,28.66,4.0,4.432658757850663
AL-Birmingham,33.462372,-86.814338,Bank of America,110814172,677,0.023,2570062,Credit_Cash_Management,True,False,,,,,,,,4836.0,47.7,14.0,4.728511530398323
AL-Birmingham,33.462372,-86.814338,CIT,110814172,677,0.002,0,Credit_Cash_Management,False,True,0.0,0.034809829,0.0,7.0,361.0,inf,Good,,,,
AL-Birmingham,33.462372,-86.814338,Cadence Bank,110814172,677,0.054,3008976,Credit_Cash_Management,False,True,0.502839815,0.034809829,14.44533995,9.0,709.0,0.069226477,Poor,4551.0,8.55,1.0,2.0
AL-Birmingham,33.462372,-86.814338,Caterpillar Inc.,110814172,677,0.002,0,Credit_Cash_Management,True,False,,,,,,,,,,,
AL-Birmingham,33.462372,-86.814338,First Horizon,110814172,677,0.008,0,Credit_Cash_Management,False,True,0.0,0.034809829,0.0,6.0,253.0,inf,Good,1360.0,19.53,3.0,4.394777265745008
AL-Birmingham,33.462372,-86.814338,Ford Motor,110814172,677,0.003,0,Credit_Cash_Management,True,False,,,,,,,,,,,
AL-Birmingham,33.462372,-86.814338,JPMorgan,110814172,677,0.016,1578113,Credit_Cash_Management,True,False,,,,,,,,1804.0,24.32,7.0,4.421875
AL-Birmingham,33.462372,-86.814338,PNC Bank,110814172,677,0.074,0,Credit_Cash_Management,True,False,,,,,,,,2444.0,43.34,7.0,4.526303645592986
AL-Birmingham,33.462372,-86.814338,Regions Bank,110814172,677,0.265,22958,Credit_Cash_Management,False,True,0.000781795,0.034809829,0.022459029,8.0,488.0,44.52552199,Excellent,2665.0,84.86,12.0,4.18548197030403
AL-Birmingham,33.462372,-86.814338,River Bank & Trust,110814172,677,0.023,0,Credit_Cash_Management,False,True,0.0,0.034809829,0.0,4.0,132.0,inf,Excellent,,,,
AL-Birmingham,33.462372,-86.814338,ServisFirst Bank,110814172,677,0.194,0,Credit_Cash_Management,False,True,0.0,0.034809829,0.0,2.0,7.0,inf,Excellent,5836.0,36.2,5.0,4.875138121546961
AL-Birmingham,33.462372,-86.814338,SouthState,110814172,677,0.012,0,Credit_Cash_Management,False,True,0.0,0.034809829,0.0,5.0,202.0,inf,Good,,,,
AL-Birmingham,33.462372,-86.814338,Synovus Financial,110814172,677,0.198,0,Credit_Cash_Management,False,True,0.0,0.034809829,0.0,1.0,6.0,inf,Excellent,3007.0,31.48,5.0,4.76143583227446
AL-Birmingham,33.462372,-86.814338,Truist,110814172,677,0.029,1767395,Credit_Cash_Management,True,False,,,,,,,,6590.0,17.1,2.0,4.0
AL-Birmingham,33.462372,-86.814338,US Bank,110814172,677,0.004,0,Credit_Cash_Management,True,False,,,,,,,,3141.0,38.04,8.0,4.594900105152471
AL-Birmingham,33.462372,-86.814338,United Community Bank,110814172,677,0.03,0,Credit_Cash_Management,False,True,0.0,0.034809829,0.0,3.0,107.0,inf,Excellent,,,,
AL-Birmingham,33.462372,-86.814338,Wells Fargo,110814172,677,0.042,0,Credit_Cash_Management,True,False,,,,,,,,4839.0,76.97,20.0,4.54034039236066
AL-Birmingham,33.462372,-86.814338,Bank of America,1281702216,677,0.022,28795371,Deposits,True,False,,,,,,,,4836.0,47.7,14.0,4.728511530398323
AL-Birmingham,33.462372,-86.814338,Bryant Bank,1281702216,677,0.003,0,Deposits,False,True,0.0,0.023264556,0.0,7.0,377.0,inf,Good,6343.0,16.26,2.0,4.474169741697416
